"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"3269","Nos3",-2.1024079,-2.0503981,-1.9720065,-2.2000332,-2.2579843,-2.2921716,-2.3049081,-2.3997355,-2.0794484,-1.994617,-2.2289846,-2.3306166,-2.1975672,-2.4749348,-1.9716324,-2.2283527,-2.167459,-1.8249668,-1.9767743,-2.4732272,-2.3304164,-2.2784685,-2.0942521,-2.0198959,-2.0678872,-2.0969264,-2.2624339,-2.3958968,-1.9155643,-2.3473429,-1.9459133,-2.0772932,-2.058876,-2.3676127,-2.3722454,-1.7899668,-2.079041,-1.9864844,-2.2149292,-2.0694087
"3345","Pik3r1",-0.9611165,-0.82360495,-0.8330875,-0.6817288,-0.65878335,-0.82436865,-0.486177185,-0.95866545,-0.9470906,-0.70557373,-0.7338395,-0.9581478,-0.6507976,-0.7427331,-0.84089455,-0.4683324,-0.85365845,-0.7882837,-0.62637734,-0.8595602,-0.7992355,-0.77642205,-0.68767302,-0.6469877,-0.72797435,-0.93550295,-0.91870395,-0.69019935,-0.629738705,-0.82739425,-0.77989205,-0.8092616,-0.9903881,-1.10391135,-0.7808419,-0.581125095,-0.48421658,-0.73579485,-0.970328,-0.7501523
"3443","Pik3ca",-0.020457865,-0.201754208,-0.122952175,-0.112381738,-0.088587533,-0.096290895,-0.151278313,-0.042424618,-0.080620333,0.015841113,-0.133278915,-0.09524016,0.007253393,-0.13502208,-0.10550616,-0.108423638,-0.099589808,-0.143875993,-0.12129853,-0.038487215,-0.071089705,-0.156425678,-0.079753653,0.113246355,-0.07794682,-0.18555304,-0.039818873,-0.023487955,-6.41e-05,-0.111735413,-0.13885251,-0.115064463,-0.118250395,-0.117377698,-0.143187693,0.003565955,0.0100406,-0.129879715,-0.148135758,-0.16047286
"4059","Ppp3cb",-0.237772893,-0.227040127,-0.138564847,-0.274095457,-0.234357183,-0.18309547,-0.234930643,-0.223537197,-0.21971881,-0.166822507,-0.189283743,-0.124368493,-0.165615293,-0.244946627,-0.2102015,-0.192867547,-0.30941799,-0.286761297,-0.199308623,-0.29526568,-0.195341783,-0.23780378,-0.249947843,-0.216811913,-0.155435447,-0.158614373,-0.20064998,-0.262696833,-0.316527703,-0.23877591,-0.206885653,-0.133915013,-0.25143706,-0.27464825,-0.198428133,-0.20884111,-0.26377907,-0.181061847,-0.170772327,-0.285434447
"4141","Map2k2",-0.17440979,-0.162730035,-0.20876605,-0.124593505,-0.11168871,-0.12308674,-0.049175285,-0.2911709,-0.19645665,-0.35420395,-0.1449119,-0.16963857,-0.2313427,-0.072208655,-0.276551185,-0.32106095,-0.33356825,-0.135779205,-0.3245033,-0.2388432,-0.2382993,-0.054817995,-0.21681767,-0.434527,-0.17123185,-0.1859125,-0.3553023,-0.183579735,-0.28814177,-0.146998545,-0.30447825,-0.2141404,-0.1732834,-0.14833908,-0.14550555,-0.361963935,-0.29114875,-0.2567246,-0.199196695,-0.21183585
"4393","Nfatc4",1.48018792,1.4340129,1.26469088,1.59322415,1.49067569,1.61169896,1.57476509,1.62239722,1.60458764,1.45880436,1.25633336,1.6743665,1.47422842,1.62996234,1.48990558,1.53514284,1.44465238,1.50013606,1.39528158,1.53717515,1.52390882,1.56577498,1.28632833,1.5115625,1.41063027,1.43838084,1.53265254,1.5445885,1.46235892,1.54096421,1.37895059,1.28569555,1.3263993,1.46805159,1.59995845,1.42323029,1.32905873,1.36225744,1.42027363,1.33792952
"4428","Mapk13",1.51173412,1.77520502,1.79409372,1.67596527,1.61494435,1.58416809,1.60260473,1.44666499,1.78841632,1.61614646,1.81191287,1.38705446,1.67798843,1.38574744,1.76791184,1.1238298,1.74122016,1.90864738,1.64885518,1.67016729,1.65943527,1.64981628,1.73391562,1.28375412,1.86039354,1.92688799,1.5173023,1.4349818,1.73784325,1.66474422,1.52073947,1.74966176,1.61859038,1.36345599,1.51362934,1.71902703,1.83922372,1.63175933,1.37865036,1.54997767
"5222","Rac1",-0.2727957,-0.0147154,0.07297363,-0.1686237,-0.1398303,-0.1426863,-0.3416578,-0.4396308,-0.0877798,-0.3760165,-0.1924594,-0.0775382,-0.1705794,-0.0094737,-0.036522,-0.174186,-0.204418,-0.139906,-0.1917709,-0.0684091,-0.0623203,0.03047996,-0.6945189,-0.1318942,-0.1271933,-0.1230833,-0.1239517,-0.3368653,-0.5675474,-0.0546524,-0.1192778,-0.0620932,-0.2232389,-0.1756466,0.04349882,-0.2629125,-0.3305679,-0.0726245,-0.1443143,-0.2273147
"5718","Nfat5",1.600662055,1.360572575,1.29175471,1.33891805,1.39478659,1.35619633,1.78745268,1.51896585,1.44525631,1.822727515,1.35508703,1.4755208,1.66342613,1.56031263,1.371766025,1.414189865,1.22669124,1.394011085,1.53029305,1.338355435,1.342117405,1.413190165,1.60598489,1.82074951,1.462136425,1.32721027,1.346724455,1.63832452,1.71841895,1.4241955,1.31474233,1.3800371,1.300131365,1.35155722,1.47153049,1.755921265,1.69184169,1.375356595,1.385842145,1.47533364
"5737","Pla2g12b",-0.9373094,-0.9203339,-0.8935919,-0.986585,-0.930821,-0.86370445,-0.9358939,-1.00114005,-0.97832905,-1.03037535,-0.97035435,-0.90825185,-0.9248537,-1.0591761,-0.9516851,-0.8570703,-0.9372866,-0.88815435,-0.91151325,-0.86132205,-0.92228275,-0.9459124,-0.9038341,-0.896264,-0.9351491,-0.9895776,-0.99673045,-0.85362395,-1.0137977,-0.90164805,-0.87765645,-0.9598015,-0.9340438,-0.93851675,-0.96162765,-0.8962526,-0.9485431,-0.9430385,-1.05134635,-1.03220715
"5873","Nfatc3",0.69052567,1.02636501,1.19658874,0.81928621,0.80709275,0.80177864,1.01437893,0.8590692,0.96961925,1.00928575,1.0128905,0.63910824,1.00660739,0.69418281,1.0534137,0.6212061,0.71155501,1.02625726,1.10222085,0.81299005,0.83071309,0.73506757,0.88534532,1.06742609,0.99999313,0.88238997,0.78383582,0.80132487,1.09550561,0.86669983,1.01476035,0.96510117,0.87236976,0.5631595,0.66164347,1.1608738,0.94936181,0.90865523,0.67813888,0.84923728
"5885","Mapk14",-0.77681744,-0.657269127,-0.613626133,-0.762297677,-0.821784603,-0.83201361,-0.83104959,-0.716728977,-0.65266117,-0.72345037,-0.720262717,-0.803194927,-0.67708896,-0.82255309,-0.562208473,-0.815485163,-0.73069943,-0.6275106,-0.571610157,-0.643378863,-0.74093835,-0.757591683,-0.738264857,-0.976680953,-0.69612327,-0.752387767,-0.831210183,-0.827783,-0.653054813,-0.801105347,-0.61298058,-0.618506217,-0.586575513,-0.763537167,-0.786449547,-0.593054797,-0.740563303,-0.650227593,-0.77484164,-0.650344787
"6385","Ppp3ca",0.877411073,0.898419557,0.838530027,0.925131963,0.913915877,0.88592698,0.90083358,0.906888633,0.819791767,0.881224897,0.841119683,0.87771415,0.79489543,0.941153557,0.84739577,0.80871235,0.852967377,0.948376797,0.84762139,0.841941597,0.86381178,0.983238447,0.843515057,0.793362437,0.94651435,0.87051843,0.828556277,0.842697237,0.807448813,0.893039307,0.868385397,0.84296694,0.872319997,0.92339541,0.961811327,0.829078483,0.882714167,0.899407187,0.902736607,0.848351503
"6504","Hras1",-0.6403016,-0.3817687,-0.4641568,-0.3435672,-0.2629801,-0.4129311,-0.2839802,-0.3507342,-0.624459,-0.4580081,-0.3965243,-0.5242933,-0.6811013,-0.2819956,-0.4784526,-0.4529592,-0.3602705,-0.3291002,-0.4209204,-0.357329,-0.4597057,-0.2891077,-0.4722874,-0.3458884,-0.3506286,-0.3702506,-0.323153,-0.4850623,-0.3968285,-0.2790931,-0.459729,-0.4202538,-0.3640724,-0.1798355,-0.3757736,-0.5487031,-0.5530635,-0.3734542,-0.3666959,-0.3332934
"6724","Hspb1",-1.3260071,-1.3286112,-1.298574,-1.240134,-1.2230806,-1.3262813,-1.3436899,-0.7635052,-1.1264215,-1.3387138,-1.2830387,-1.2720969,-1.1659317,-0.9235644,-1.3961866,-1.0996627,-1.1892523,-1.3527058,-0.8505525,-1.2523006,-1.4680171,-1.4720815,-1.390623,-0.3337108,-1.3537618,-1.3626731,-1.0913923,-1.2827092,-1.2668732,-1.1731657,-1.3504206,-1.352693,-1.3541598,-1.2788454,-1.2721198,-1.1984532,-1.2467622,-1.1458867,-1.3075011,-1.4169019
"7165","Lad1",-0.8725683,-0.7759896,-0.7403159,-0.77554595,-0.7820052,-0.77865845,-0.7075397,-0.73404655,-0.77778785,-0.89685805,-0.6565196,-0.70216,-0.72337805,-0.62730665,-0.74267745,-0.79875355,-0.73757795,-0.72377535,-0.73604165,-0.67207015,-0.66754895,-0.7546863,-1.0228647,-0.4399115,-0.6481766,-0.85588365,-0.876506,0.01716486,-1.0288404,-0.8111024,-0.69154365,-0.83245055,-0.83011755,-0.9260368,-0.658175,-0.94273865,-0.8995667,-0.8807064,-0.8311223,-0.82337005
"7753","Nfatc3",-1.8441744,-1.820116,-1.5322321,-1.3640756,-1.8316485,-1.5834647,-1.7282287,-2.0904667,-1.8914807,-1.9944536,-1.5347242,-1.7600431,-1.6396837,-1.6747339,-1.4797058,-1.4405113,-1.686269,-1.554017,-1.6739746,-1.6251555,-1.7465476,-1.443803,-2.1730225,-1.9663363,-1.6068674,-1.6504452,-1.4990226,-2.1562715,-2.1239827,-1.7726547,-1.6832386,-1.4641031,-1.5413732,-1.9188116,-2.0645449,-1.7725008,-1.9086766,-1.4670727,-1.6163144,-1.9070511
"8085","Ppp3r1",-0.3179862,-0.4843377,-0.4938592,-0.2103691,-0.295493,-0.2290514,-0.3325019,-0.3902908,-0.2399758,-0.2977174,-0.5302161,-0.0934257,-0.2886826,-0.2769,-0.350348,-0.4746957,-0.381235,-0.1623185,-0.476833,-0.3387787,-0.3715971,0.01097838,-0.4717817,-0.6829651,-0.2443416,-0.2565048,-0.2997496,-0.3000616,-0.6007104,-0.1539876,-0.3095043,-0.4491849,-0.4382481,-0.2882253,-0.1871833,-0.5816928,-0.3785015,-0.2705243,-0.2737066,-0.347663
"8086","Pla2g4a",-0.4855688,-0.2388654,-0.2448694,-0.2719118,-0.0360739,-0.0718712,-0.0530056,-0.1436272,-0.1739901,-0.1814205,-0.1668304,-0.0646132,-0.1184449,-0.0437423,-0.2149772,-0.0761555,-0.1605835,-0.1924035,-0.1329523,-0.108903,-0.1833287,-0.2881821,-0.1705847,-0.132048,-0.1258228,-0.2129427,-0.157543,-0.1545017,-0.1200718,-0.0608926,-0.1311427,-0.2175764,-0.1451752,-0.0849921,-0.1070839,-0.2181898,-0.1579505,-0.2404601,-0.1258698,-0.1120819
"8201","Plcg1",0.73328786,1.03405289,1.23736495,1.2193682,0.7721567,1.01862646,0.32045712,0.76188701,1.10664513,0.52245482,1.35610869,1.02516501,0.85488079,0.48453921,0.97369997,1.30250052,0.97344255,0.67034475,0.74554139,0.99005025,1.13210869,0.92830442,0.73453269,0.59435198,1.0159842,1.21836285,1.24485943,0.9322055,0.69671609,0.86313041,1.09881703,1.27399731,1.07007405,1.37266551,0.54840541,0.47092251,1.05574263,0.93163041,1.25303447,0.99027769
"8724","Mapk3",0.46171763,0.50048892,0.45113469,0.61599105,0.33768287,0.60782637,0.31421767,0.52985256,0.43298393,0.34437545,0.33742108,0.55831144,0.44420166,0.51931005,0.64689688,0.64795008,0.56820683,0.55692548,0.45824831,0.64905418,0.51229637,0.39537898,0.43144558,0.3325951,0.50018607,0.58323,0.57768673,0.5427885,0.31175569,0.42692632,0.48833916,0.39279044,0.49657634,0.50137781,0.42699703,0.46806563,0.37474824,0.52801455,0.45299597,0.43220004
"8814","Casp9",0.41041963,0.54321591,0.42893715,0.5484409,0.57989185,0.58973765,0.50359866,0.52566035,0.36864119,0.36431298,0.53793974,0.47202168,0.51623685,0.66901832,0.44456887,0.55789844,0.34704054,0.61588854,0.43838496,0.49581011,0.51611075,0.68321037,0.47640835,0.24787916,0.38746212,0.51104516,0.53425377,0.55306675,0.0224968,0.56975096,0.39981353,0.46464386,0.62248301,0.52055192,0.65243389,0.43308659,0.10765701,0.57601284,0.47456925,0.53785435
