"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"4141","Map2k2",-0.320943865,-0.367504475,-0.231848375,-0.322923605,-0.331627125,-0.225916465,-0.452763905,-0.245533805,-0.187217395,-0.331514275,-0.192395465,-0.31835805,-0.44813604,-0.00379174,-0.24027555,-0.221684715,-0.185364475,-0.341579035,-0.288039205,-0.31619251,-0.321275,-0.2026381,-0.291011035,-0.195912305,-0.363776995,-0.18746415,-0.31672988,-0.198102295,-0.13437207,-0.377363465,-0.23782853,-0.28289561,-0.350107975,-0.355313885,-0.34896788,-0.15341285,-0.290372815,-0.220538995,-0.28852191,-0.338300605
"4393","Nfatc4",0.91676487,0.65780868,1.09326308,1.05376394,0.70160153,0.87813433,1.14845627,1.33154456,1.13220451,1.18968273,1.09558062,0.999294,1.0722398,1.72383049,1.1381228,0.96775527,1.30852314,0.8172586,1.04315478,1.02405049,1.08090791,0.98256876,1.02543476,1.09964342,1.14933895,1.03294977,1.28093663,1.1803322,1.24944691,1.12367926,0.88901571,1.16371409,1.27186929,1.04927487,0.67104218,1.4446057,1.23800668,0.95968882,1.01000445,0.80796297
"4428","Mapk13",0.68506861,0.93268919,0.41802836,0.49551759,1.23101173,0.86619281,0.7403469,0.79401796,0.50654816,0.21984048,1.10882444,0.76187579,1.19531218,0.45362775,0.20690461,0.68388953,0.87351972,0.58038963,0.52861206,0.54508715,1.08157511,0.59526432,0.58306407,0.38347014,0.90019931,0.15239683,1.07873432,0.55576877,0.40852539,0.26899225,0.35537135,0.95094881,1.21813153,0.8169,0.69338569,0.33477935,0.96020164,1.0680077,0.60825571,0.97402419
"5222","Rac1",-0.5802651,-1.0685613,-0.5699738,-0.6953178,-0.8281513,-1.1845907,-0.7432705,-0.847104,-0.7527953,-0.7303247,-0.6917413,-1.0476202,-0.8480643,-0.5604042,-0.8712544,-0.7593543,-0.9338147,-1.2484449,-0.7187958,-0.9547986,-0.6828665,-0.7078831,-0.9963842,-0.5757339,-0.985466,-0.5638821,-1.0696011,-0.7330555,-0.7163937,-1.1293451,-1.1054089,-0.7845379,-0.9841315,-1.1045902,-0.6441527,-0.9289577,-1.03146,-1.433915,-1.1138437,-1.2774548
"5718","Nfat5",2.046658925,1.94887778,2.168901115,1.88853462,1.974685275,2.13748748,2.07089511,1.995063035,2.10136108,2.204113825,1.839638925,1.991216695,1.974629765,1.83000345,2.274852435,1.79992198,1.98564723,2.069078965,1.99296315,2.018725815,1.93454016,1.987544175,1.90653276,2.176685925,2.131131135,1.849453235,1.87732886,1.97589547,2.14688883,2.131125395,2.14895005,1.87460457,1.848517325,1.89625374,2.032534915,1.88985215,1.86782937,1.92332758,1.933645215,1.97417046
"5737","Pla2g12b",-1.1685059,-1.0188026,-0.93867435,-1.1750239,-1.0380401,-0.82828395,-0.9828671,-1.24908085,-1.07842145,-0.89776535,-1.14005365,-1.01327435,-0.9051566,-1.1986344,-0.9941312,-1.11686095,-1.0853454,-1.03067205,-0.95578675,-1.2181365,-0.9499757,-1.00920165,-1.02350745,-1.091521,-0.9679601,-1.0496284,-1.2900048,-0.93493645,-1.12696895,-0.96235335,-0.89861105,-1.041161,-1.08207455,-0.9845776,-0.8534423,-1.15739565,-1.0543469,-0.9377203,-1.0074269,-1.0201239
"5873","Nfatc3",0.83625745,0.94300954,0.85597151,0.71337888,0.76115751,0.79486739,0.70580695,0.70235202,0.9195838,0.82162712,0.72543231,0.90563979,0.71655451,0.56454775,0.67687813,0.74290356,0.68025029,0.8398711,0.93456764,0.72662699,0.90183268,0.74505276,0.74219132,0.89044077,0.95690964,0.8545446,0.71378176,0.82876602,0.79393596,0.80318315,0.83174137,0.68956323,0.77970079,0.8652597,0.8966804,0.42234832,0.69975022,0.51850486,0.63654249,0.79447671
"5885","Mapk14",-0.898711497,-0.7749758,-0.8256921,-0.8076264,-0.66091493,-0.764428633,-0.9105926,-0.780910493,-0.8270272,-0.874854867,-0.64873883,-0.836210167,-0.660989117,-0.856621633,-0.817999567,-0.699536603,-0.705713823,-0.779168133,-0.786168967,-0.7245405,-0.584687603,-0.7446487,-0.7927871,-0.854678837,-0.828722833,-0.7847679,-0.695713967,-0.766280353,-0.8226552,-1.103899033,-0.798488067,-0.778132477,-0.568992137,-0.653919467,-0.711817133,-0.761909967,-0.699055897,-0.54892565,-0.580946933,-0.8085485
"6385","Ppp3ca",0.508752883,0.683149293,0.603111703,0.64612497,0.615625697,0.5016773,0.689237483,0.485390637,0.547254947,0.664066543,0.641850983,0.632173467,0.606662817,0.399511157,0.530180533,0.708998047,0.446431453,0.707934087,0.601062907,0.582074483,0.56892079,0.69930116,0.701172877,0.46133358,0.640563027,0.727481373,0.60584626,0.480706227,0.474397813,0.630386043,0.734299737,0.5792948,0.603087783,0.70624122,0.621888533,0.447846987,0.467519593,0.68640552,0.756591257,0.679509307
"6504","Hras1",-0.6058545,-0.7600745,-0.7532094,-0.6848379,-0.6222986,-0.6683044,-0.7406456,-0.6563626,-0.7283412,-0.6024052,-0.80289,-0.7786487,-0.8280413,-0.5640044,-0.8380282,-0.8391395,-0.6944849,-0.6872695,-0.7548695,-0.8838066,-0.7262339,-0.7424729,-0.7375417,-0.7604996,-0.756556,-0.5598597,-0.8726593,-0.7803796,-0.5519807,-0.6883511,-0.7724674,-0.6916767,-0.7044987,-0.5776344,-0.9649393,-0.859735,-0.7312884,-0.5996859,-0.7360374,-0.597236
"6724","Hspb1",-1.027175,-0.9069491,-0.9424782,-1.1831022,-1.4067902,-0.8438796,-1.119484,-0.7701786,-0.8819557,-0.9856957,-1.2109163,-1.1090535,-0.9659714,-1.1289584,-0.9093449,-0.871749,-1.2329917,-0.7961405,-0.2948812,-1.2217893,-1.158915,-1.0614482,-0.8798396,-0.0404434,-0.9151803,-0.7177967,-0.8580823,-0.8651503,-1.0791005,-0.8620802,-0.2493469,-0.8810176,-1.1201672,-0.8578237,-1.1680804,-0.7863421,-1.1743253,-0.8111161,-1.0404009,-0.7826729
"7165","Lad1",-0.74720515,-0.84456405,-0.73827145,-1.04005345,-1.1045531,-1.04593715,-0.84691705,-0.8322287,-0.61099845,-0.6886834,-0.76267105,-1.1025674,-0.7266658,-0.77140145,-0.698476,-0.81251815,-0.9753895,-0.8389489,-0.74404975,-0.9574757,-0.97964735,-0.93877325,-0.94879395,-0.82555275,-0.7771793,-0.75157635,-0.4645832,-0.76237805,-0.8021371,-0.7535019,-0.8946936,-0.7798177,-0.7901084,-0.94265965,-0.6281233,-0.92090895,-0.90896625,-0.7206217,-0.950476,-0.6753711
"7753","Nfatc3",-2.0928223,-1.8723566,-1.8208251,-2.1225553,-1.9738207,-1.942209,-1.8262718,-2.0038981,-2.2671273,-2.0788825,-1.7847196,-1.9023315,-1.8149038,-1.6986526,-1.9167171,-1.8209314,-2.2505952,-1.9292528,-1.8553912,-1.9658413,-1.6855138,-2.0311075,-1.8633414,-2.2179072,-2.0033028,-1.7819817,-1.9930699,-1.8314545,-2.049076,-2.1921345,-2.3468731,-2.0398582,-1.5007113,-1.9166945,-1.8963664,-1.9808628,-2.0484678,-1.6705068,-1.889463,-2.1273617
"8085","Ppp3r1",-0.9420588,-1.2245492,-0.8499069,-1.0572011,-1.2595877,-1.1567823,-0.8851389,-1.0705934,-0.8758775,-0.8471098,-1.0960817,-1.0911825,-0.9657332,-1.1265391,-1.049528,-1.0931345,-0.9696138,-1.0414769,-0.9038054,-1.0433723,-0.9390315,-0.9861683,-1.1548338,-0.9657173,-1.0126291,-1.0844771,-0.9267663,-0.9751962,-0.9287814,-0.9456455,-0.9383462,-0.9073487,-0.9514362,-1.0298633,-1.7643841,-1.0325541,-0.905411,-1.074026,-0.9969452,-1.109655
"8086","Pla2g4a",-0.3287968,-0.4987356,-0.3626742,-0.4876633,-0.2561552,-0.1364291,-0.4657284,-0.3842001,-0.3417539,-0.2710139,-0.4478385,-0.4028367,-0.1166427,-0.3853213,-0.3232403,-0.3717529,-0.235833,-0.281663,-0.3750398,-0.2610106,-0.5931772,-0.5149746,-0.4552385,-0.3097917,-0.3283744,-0.4923935,-0.2274203,-0.4234552,-0.3680971,-0.2023064,-0.1267513,-0.4796541,-0.523543,-0.1393198,-0.1945984,-0.3408175,-0.5644221,-0.4229137,0.05555732,-0.1704906
"8201","Plcg1",0.25625143,0.31940386,0.52314475,1.00534416,0.66126672,-0.1741774,0.86842485,0.95942243,0.59053713,0.28404587,1.1953012,0.60163504,0.62577308,0.77063839,0.36055489,1.29773199,0.8529424,0.01519076,0.4302627,0.39005696,1.04696417,0.69095993,1.10183107,0.65158238,0.47516432,1.11540347,1.35544854,0.64444357,0.56258963,0.24433931,0.02349851,1.11696661,1.1738718,0.53894307,0.82098017,0.55889977,0.90275642,0.47148908,0.47587055,-0.0005138
"8724","Mapk3",0.13750313,-0.1777238,0.15853108,0.16301857,0.054608,0.06277745,0.20804015,0.22753339,0.1968564,0.21065343,0.13167185,0.0818797,0.1858106,0.29573542,0.1852574,0.11321332,0.33162987,-0.0061331,0.03909863,0.14281671,0.32394803,0.17976725,0.04801426,0.220705,-0.0660643,0.10329419,0.15153571,0.29804113,0.17493127,0.03694646,-0.0693416,0.24715161,0.169594,0.0501895,-0.0429539,0.05309007,0.10491206,-0.0269563,0.0465642,0.02417637
"8814","Casp9",0.18127143,0.13859303,0.2366365,0.27329403,-0.0199214,-0.1605646,0.22632712,0.22530036,0.04774518,0.13917948,0.13900336,-0.0424597,0.02837905,0.39535502,-0.0605877,0.23857645,0.04663259,-0.0987755,0.04869418,-0.0312077,0.00784725,0.18186271,0.19020624,0.18471953,-0.0627518,0.17884301,0.09245885,0.15846692,0.2573257,-0.1431257,-0.0517232,0.04113079,0.1750033,-0.197364,-0.257842,0.04666826,0.00050903,-0.024416,0.21459901,-0.0417449
