"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"5885","Mapk14",-0.32738919,-0.34750692,-0.49207759,-0.399088607,-0.45035591,-0.34395446,-0.48242299,-0.441016993,-0.488982893,-0.35053657,-0.40620285,-0.328750317,-0.45871413,-0.5741784,-0.521493627,-0.47303623,-0.46327096,-0.23130331,-0.44195987,-0.384335157,-0.411899037,-0.527896397,-0.48735392,-0.446482967,-0.534117933,-0.55821688,-0.432124403,-0.620161627,-0.4595124,-0.443672757,-0.272168473,-0.51250263,-0.46004703,-0.468413067,-0.46781542,-0.399888317,-0.417607173,-0.485330243,-0.36510098,-0.468485533
"6385","Ppp3ca",0.39744522,0.360826407,0.336683593,0.48546208,0.357744573,0.1928843,0.340133723,0.239055427,0.414196127,0.298124747,0.281584477,0.282830713,0.223826077,0.13090489,0.347748783,0.3227032,0.245098697,0.30196298,0.2203282,0.285965467,0.191597423,0.230935043,0.657275937,0.256266987,0.289875997,0.436738457,0.243878487,0.05922193,0.379508143,0.27398332,0.226015593,0.123936907,0.19404188,0.218829673,0.156313793,0.354048183,0.294240067,0.33895741,0.27157639,0.152552217
"6504","Hras1",-1.0273787,-0.8204504,-0.8503529,-0.6048284,-0.825365,-0.9698156,-0.4818541,-0.884494,-0.7990968,-0.7734518,-0.7772513,-0.8113564,-0.7928277,-0.9397659,-0.7445349,-0.9431538,-0.8874925,-0.7227094,-0.8664413,-0.5488979,-0.791684,-0.809267,0.01709536,-1.1646474,-0.8813638,-0.7634865,-0.802923,-0.8177324,-0.8508216,-0.5252878,-1.0055154,-0.5264301,-0.8953626,-1.0400633,-1.1621044,-0.8885631,-0.7773887,-0.7268726,-0.9562919,-0.7205438
"6724","Hspb1",-0.5347462,-0.2735789,-0.637168,-0.6094416,-0.3351772,-0.363133,-0.6060476,-0.362894,-0.5519043,-0.2961523,-0.5519692,-0.1950738,-0.3840088,-0.3081514,-0.4345361,-0.4774835,-0.4358022,-0.3710317,-0.4247574,-0.6538089,-0.3954194,-0.4050049,-0.6466591,-0.5910566,-0.5063158,-0.5296541,-0.6294862,-0.5038857,-0.4736536,-0.4797324,-0.6748953,-0.4529854,-0.4893597,-0.3709396,-0.4265247,-0.6068233,-0.5457208,-0.7096345,-0.5489015,-0.4313683
"7165","Lad1",-0.2816515,0.00517479,-0.05821044,-0.1567493,-0.0926253,-0.09702769,-0.1998467,-0.117177115,-0.18216959,-0.15384955,-0.077621915,0.00429387,-0.025761115,-0.113216735,-0.06835345,0.070065135,0.18827327,-0.005481915,-0.012337595,-0.1387911,-0.09060473,-0.079162485,-0.1397016,-0.28030393,-0.268075585,-0.28549536,-0.305227,-0.2389445,-0.24805654,0.05117139,-0.162225985,-0.353283,-0.10583968,-0.139806505,-0.224776465,-0.4364957,0.073541995,-0.1538531,-0.312078365,-0.163128935
"7753","Nfatc3",-1.8839718,-1.4043912,-1.717027,-1.8471532,-1.8304679,-1.8383753,-1.8659582,-1.630628,-2.0404358,-1.8758394,-0.9899399,-1.4115397,-1.7702126,-0.9428804,-1.7658162,-1.917149,-2.1544917,-2.0967132,-1.7450911,-2.1804063,-1.3958017,-0.6707597,-2.1213278,-1.8903384,-1.2844827,-1.2162293,-1.6257171,-1.7008654,-2.5050049,-0.6444976,-1.8398917,-1.601752,-1.6792345,-1.8074307,-2.3529446,-1.7739123,-1.8185882,-1.634341,-1.3903437,-3.3599689
"8085","Ppp3r1",-0.3818035,-0.2782411,-0.2186863,-0.4019019,-0.1941282,-0.3128047,-0.3782703,-0.2710505,-0.3494993,-0.1915982,-0.7291828,-0.183459,-0.2214578,-0.1543716,-0.3381587,-0.3051627,-0.4059038,-0.2418008,-0.190376,-0.4771738,-0.3595032,-0.4182745,-0.3901863,-0.1950802,-0.3833364,-0.5388207,-0.4283645,-0.2470636,-0.1257112,-0.3124304,-0.1745477,-0.2913175,-0.4334961,-0.3484458,-0.2813851,-0.3591621,-0.2673365,-0.4287176,-0.4694471,-0.3225356
"8086","Pla2g4a",-0.0030051,-0.1748733,-0.1153243,-0.2035536,-0.1510202,-0.0992281,-0.0631924,-0.1983897,0.03865675,-0.0286499,-0.0984675,-0.2334033,-0.0446234,0.00397378,-0.2194488,0.01893932,-0.0623408,-0.0895107,0.03555094,-0.1400383,-0.0103994,-0.0091803,-0.1915271,-0.2734356,0.01681309,-0.2306487,-0.0153755,0.11589714,0.0931684,0.05275786,-0.0597509,0.19655863,-0.0629796,0.06028607,-0.1392708,-0.3259937,0.03851984,0.08362469,0.28073713,0.07014804
"8201","Plcg1",0.8255301,0.65843864,0.68821488,0.48810811,0.25410319,0.80334822,0.02331613,0.87083613,0.74963793,0.57398617,0.04755771,0.05145341,0.02595747,0.55394499,0.61123731,-0.067556,0.09611955,0.5640024,0.60302652,0.10627568,0.78705026,0.47345213,0.11616283,0.56507498,0.52010463,-0.1633138,0.41729253,0.57810327,0.3835705,0.53810398,-0.0045806,-0.1002127,0.1472239,0.2517799,0.39916848,1.1334561,0.37629772,0.2385145,-0.2659012,0.34991623
"8724","Mapk3",-0.2465047,-0.1428404,-0.115561,-0.2470741,0.00078047,-0.2666173,-0.4662909,-0.1390187,-0.2020758,-0.1692743,-0.1913118,-0.3919322,-0.0891625,-0.1776916,-0.2212267,-0.0118985,-0.1565128,-0.1569699,-0.0909629,-0.2048995,-0.1791054,-0.2557787,-0.4255648,-0.097393,-0.2420926,-0.3743887,-0.1565866,-0.1900423,-0.1784503,-0.1558082,-0.0228514,-0.2174029,-0.4549442,-0.3250839,-0.1744065,-0.1074766,-0.2941268,-0.2932208,-0.3345911,-0.3246576
"8814","Casp9",0.15933246,0.24788844,0.28540681,0.29311155,0.24526933,-0.0050216,0.14935962,0.28675433,0.23348068,-0.1162817,0.10933108,0.14082579,0.00801328,0.0477255,0.14551977,0.05158446,0.18231521,0.00217549,0.05295268,0.06923603,0.10067419,0.11187321,-0.1874754,0.0487836,0.03156764,0.28912894,-0.0323227,0.02827478,-0.1573206,0.227513,-0.0018693,0.02506674,0.06521406,-0.0156675,0.19992416,0.02191238,0.12349127,0.07241955,-0.1266313,0.09604231
