"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"3210","Nras",-0.50158176,-0.56468565,-0.426174475,-0.43251424,-0.514815955,-0.33836528,-0.435308275,-0.36176836,-0.454281915,-0.350015825,-0.2662675,-0.411640305,-0.191236915,-0.347876435,-0.395115075,-0.519265105,-0.519741785,-0.457853385,-0.369120645,-0.555694045,-0.49501015,-0.560602995,-0.410466395,-0.37288859,-0.545787355,-0.471063985,-0.380524315,-0.48435472,-0.454770925,-0.329154,-0.406825115,-0.33262113,-0.354994085,-0.72696335,-0.32042387,-0.397955035,-0.33445264,-0.29554918,-0.478365365,-0.468113985
"3269","Nos3",-2.1048255,-2.2592007,-2.1041011,-1.9493688,-2.2590728,-1.852692,-1.6382344,-1.4079897,-2.1298964,-1.3535624,-1.2739006,-2.1033999,-1.3636196,-1.6529096,-1.5023184,-1.5076978,-2.7022802,-1.948017,-1.6361927,-1.7001659,-2.4787175,-2.3302019,-1.5121451,-1.9065978,-2.3485384,-1.6765376,-2.6872551,-2.0951621,-2.1713504,-1.303257,-1.5551375,-1.6352025,-1.7504679,-2.7369243,-2.8620898,-1.7425144,-2.1624243,-1.6998881,-2.2086634,-1.6528745
"3345","Pik3r1",-0.75387555,-0.64423615,-0.72077925,-0.739577,-0.6897585,-0.9998293,-0.80845155,-0.6807685,-0.8349269,-0.82346615,-0.89917265,-0.73918635,-0.82943095,-0.7610945,-0.82625875,-0.7707737,-0.7148691,-0.68369455,-0.8559633,-0.6400803,-0.58314825,-0.82092865,-0.7768206,-0.89877815,-0.84085755,-0.90987785,-0.8117329,-0.6983426,-0.7492483,-0.7317153,-0.79552605,-0.69799305,-0.6820703,-0.65063515,-0.81452065,-0.83196725,-0.68502905,-0.74144475,-0.62172025,-0.6841934
"3443","Pik3ca",-0.09259684,-0.187306818,-0.230462453,-0.263668573,-0.270864623,-0.277811985,-0.305645968,-0.33072785,-0.28751826,-0.354451698,-0.386804953,-0.25758423,-0.402350105,-0.297724755,-0.24717509,-0.157603735,-0.132046828,-0.207921643,-0.28267209,-0.255289718,-0.170072838,-0.156484038,-0.293549355,-0.254014415,-0.227605795,-0.268471275,-0.28589289,-0.248494373,-0.355263935,-0.335676168,-0.2989893,-0.3396168,-0.29379506,-0.048526335,-0.211171983,-0.2907356,-0.34500533,-0.330035798,-0.2018726,-0.350400645
"4059","Ppp3cb",-0.02957375,-0.12415787,-0.10427123,-0.221168107,-0.250963423,-0.24280293,-0.10397914,-0.29866419,-0.223687067,-0.14986777,-0.273826863,-0.232045757,-0.31647312,-0.178326867,-0.225502677,-0.07348562,-0.232349673,-0.09179242,-0.204085937,-0.179551683,-0.194399227,-0.172473833,-0.24188487,-0.024171583,-0.105518653,-0.25970403,-0.268054827,-0.09079521,-0.142671947,-0.270175387,-0.119399613,-0.232408703,-0.24336435,-0.08389517,-0.342326973,-0.176679727,-0.158061733,-0.249356403,-0.08651259,-0.110425307
"4141","Map2k2",0.19835518,0.11031615,0.12833512,-0.08123653,0.06636449,-0.35668575,-0.07022618,-0.05939087,-0.1307694,-0.2438827,-0.2576487,-0.3974409,-0.41042535,-0.11114075,-0.20806875,-0.36495125,0.06960261,0.0339572,0.05729654,-0.12092535,0.14711812,0.083372885,-0.2772045,-0.109431545,0.16622979,-0.21252365,0.116964955,0.158251275,0.123366475,-0.26802125,-0.079223545,-0.2670308,-0.115163385,0.05356306,6.56e-06,-0.06999446,0.00771285,-0.0568802,-0.161571675,0.107352015
"4393","Nfatc4",1.13989674,1.28891834,1.18491303,1.13733341,1.33562073,1.17008174,1.25512147,1.05575565,1.17255998,1.11114638,1.02347474,1.3008589,1.10846627,1.2453378,1.26925183,1.30486398,1.36063549,1.18746545,1.18887114,1.18557142,1.19293423,1.21845597,1.06878856,1.21757861,1.20361712,1.24954505,1.24713073,1.25078246,1.30157685,1.15076133,1.212583,1.25217382,1.270865,1.49113081,1.05607861,1.22439851,1.17867615,0.94260006,1.41820257,1.23085045
"4428","Mapk13",1.92866518,1.98220107,2.07657033,2.04909039,2.2634836,2.08480766,2.11110415,2.15991769,2.23685494,2.12090755,2.11477292,1.84126284,1.93210207,1.93320205,2.01437234,1.91400064,2.32569802,1.93473983,2.15743721,2.20551586,2.18334265,1.94152108,2.13233905,1.79227374,2.11186623,2.09194526,2.29267799,2.02097622,2.1499992,2.24503396,2.10663518,2.17226902,2.20938307,1.86587827,2.17132998,2.21981174,2.05723485,2.09491005,1.95259989,2.12348525
"5222","Rac1",-0.8007035,-0.7166489,-0.6620558,-0.7977923,-0.5836484,-0.5026844,-0.6045894,-0.5414662,-0.5349065,-0.4130103,-0.4215574,-0.5071017,-0.2988835,-0.48795,-0.5138823,-0.4133954,-0.6020043,-0.4849639,-0.5377913,-0.6033577,-0.7557425,-0.4792307,-0.5512604,-0.5784724,-0.5950694,-0.5339258,-0.6124665,-0.6600623,-0.4996839,-0.5411111,-0.4987592,-0.5602394,-0.6789625,-0.7566468,-0.4911619,-0.5554831,-0.526852,-0.6043544,-0.5434285,-0.4953647
"5718","Nfat5",1.453708115,1.52250076,1.495296775,1.437349975,1.252591975,1.21507176,1.288050095,1.17252163,1.29606048,1.208736695,1.06965121,1.30135531,1.07112502,1.217806815,1.254532105,1.251857325,1.491549215,1.5018183,1.27905938,1.30297643,1.495110845,1.529001265,1.23069944,1.265764295,1.412276,1.30730855,1.264346435,1.446697725,1.29031719,1.118268855,1.342130585,1.19700396,1.26106415,1.60013843,1.262998415,1.2989413,1.40256803,1.21487778,1.37708188,1.25632994
